norm 0.309070949412 1.82022932583 1.82022932583
pow1 0.177753819192 1.57901878168 1.57901878168
break1 233.841915269 5367.05401241 5367.05401241
pow2 0.487441047461 0.678406983737 0.678406983737
norm1 1.07722154363 2.04232335265 2.04232335265
ts_1 48.0484481978 388.873432651 388.873432651
t1_1 61.2971282672 1258.40453463 1258.40453463
t2_1 59.624667208 204.442472513 204.442472513
norm2 0.0478278992724 0.919597682712 0.919597682712
ts_2 398.152583931 12068.5166561 12068.5166561
t1_2 118.962639092 4430.83831872 4430.83831872
t2_2 222.319611495 3286.58113627 3286.58113627
Chisq 62.7626098462
dof 2
