norm 14844596.9314 736222035235.0 736222035235.0
pow1 3.03047619204 31126.7104155 31126.7104155
break1 180.418307776 10801016.5901 10801016.5901
pow2 1.1576996557 0.0677784694476 0.0677784694476
norm1 0.166239927057 0.326377413537 0.326377413537
ts_1 389.613051684 2889.95111248 2889.95111248
t1_1 354.219414514 16730.7986931 16730.7986931
t2_1 178.923563437 4075.42659964 4075.42659964
norm2 0.327016672566 1.47034568092 1.47034568092
ts_2 729.096211429 4712.12195757 4712.12195757
t1_2 504.014723112 36660.218322 36660.218322
t2_2 228.062633541 14840.4872162 14840.4872162
Chisq 195.390810897
dof 29
